array,address_hex,address_decimal,word_hex,word_binary
CFG_ARRAY_0,0x00,0,0x5ECF0F33,01011110110011110000111100110011
CFG_ARRAY_0,0x02,2,0xBB6128BF,10111011011000010010100010111111
CFG_ARRAY_0,0x04,4,0x06D2741E,00000110110100100111010000011110
CFG_ARRAY_0,0x06,6,0x4D4E92BB,01001101010011101001001010111011
CFG_ARRAY_0,0x08,8,0x4AE11EC4,01001010111000010001111011000100
CFG_ARRAY_0,0x0A,10,0x2731EA3E,00100111001100011110101000111110
CFG_ARRAY_0,0x0C,12,0x040BBC52,00000100000010111011110001010010
CFG_ARRAY_0,0x0E,14,0x15271267,00010101001001110001001001100111
CFG_ARRAY_0,0x10,16,0xAA104B2C,10101010000100000100101100101100
CFG_ARRAY_0,0x12,18,0xB9C2D5A4,10111001110000101101010110100100
CFG_ARRAY_0,0x14,20,0x088DEE96,00001000100011011110111010010110
CFG_ARRAY_0,0x16,22,0x84FEA59A,10000100111111101010010110011010
CFG_ARRAY_0,0x18,24,0x74C33A3D,01110100110000110011101000111101
CFG_ARRAY_0,0x1A,26,0x50CF4C00,01010000110011110100110000000000
CFG_ARRAY_0,0x1C,28,0x2E1C5F6D,00101110000111000101111101101101
CFG_ARRAY_0,0x1E,30,0xE70FD08F,11100111000011111101000010001111
CFG_ARRAY_0,0x20,32,0x240F0E13,00100100000011110000111000010011
CFG_ARRAY_0,0x22,34,0xCE9849C1,11001110100110000100100111000001
CFG_ARRAY_0,0x24,36,0xE17C844D,11100001011111001000010001001101
CFG_ARRAY_0,0x26,38,0xF72DA730,11110111001011011010011100110000
CFG_ARRAY_0,0x28,40,0xC989AFF4,11001001100010011010111111110100
CFG_ARRAY_0,0x2A,42,0xEA1EA26D,11101010000111101010001001101101
CFG_ARRAY_0,0x2C,44,0xEB1E4C11,11101011000111100100110000010001
CFG_ARRAY_0,0x2E,46,0x0C4E11AE,00001100010011100001000110101110
CFG_ARRAY_0,0x30,48,0x0116EB1F,00000001000101101110101100011111
CFG_ARRAY_0,0x32,50,0x6EC14F5E,01101110110000010100111101011110
CFG_ARRAY_0,0x34,52,0x7EEEBF31,01111110111011101011111100110001
CFG_ARRAY_0,0x36,54,0xCDB36CCF,11001101101100110110110011001111
CFG_ARRAY_0,0x38,56,0xEEEE71E1,11101110111011100111000111100001
CFG_ARRAY_0,0x3A,58,0xF438EDF2,11110100001110001110110111110010
CFG_ARRAY_0,0x3C,60,0x0670840C,00000110011100001000010000001100
CFG_ARRAY_0,0x3E,62,0xF00788FF,11110000000001111000100011111111
CFG_ARRAY_0,0x40,64,0x0880F8FC,00001000100000001111100011111100
CFG_ARRAY_0,0x42,66,0xA2000C08,10100010000000000000110000001000
CFG_ARRAY_0,0x44,68,0x008D8007,00000000100011011000000000000111
CFG_ARRAY_0,0x46,70,0xD080880F,11010000100000001000100000001111
CFG_ARRAY_0,0x48,72,0x700A04F0,01110000000010100000010011110000
CFG_ARRAY_0,0x4A,74,0x0804F0F0,00001000000001001111000011110000
CFG_ARRAY_0,0x4C,76,0x0F08B84B,00001111000010001011100001001011
CFG_ARRAY_0,0x4E,78,0x0002850F,00000000000000101000010100001111
CFG_ARRAY_0,0x50,80,0x0000FB00,00000000000000001111101100000000
CFG_ARRAY_0,0x52,82,0x02FF0FEA,00000010111111110000111111101010
CFG_ARRAY_0,0x54,84,0xF0F00000,11110000111100000000000000000000
CFG_ARRAY_0,0x56,86,0x48080F08,01001000000010000000111100001000
CFG_ARRAY_0,0x58,88,0x8F008FF0,10001111000000001000111111110000
CFG_ARRAY_0,0x5A,90,0xC0E087FF,11000000111000001000011111111111
CFG_ARRAY_0,0x5C,92,0x04700FC8,00000100011100000000111111001000
CFG_ARRAY_0,0x5E,94,0x38F00080,00111000111100000000000010000000
CFG_ARRAY_0,0x60,96,0xF00D44FF,11110000000011010100010011111111
CFG_ARRAY_0,0x62,98,0x0A870008,00001010100001110000000000001000
CFG_ARRAY_0,0x64,100,0x0088F800,00000000100010001111100000000000
CFG_ARRAY_0,0x66,102,0x80800845,10000000100000000000100001000101
CFG_ARRAY_0,0x68,104,0x70878FF0,01110000100001111000111111110000
CFG_ARRAY_0,0x6A,106,0x070FCF78,00000111000011111100111101111000
CFG_ARRAY_0,0x6C,108,0x8800000C,10001000000000000000000000001100
CFG_ARRAY_0,0x6E,110,0x0C50F00B,00001100010100001111000000001011
CFG_ARRAY_0,0x70,112,0x08008300,00001000000000001000001100000000
CFG_ARRAY_0,0x72,114,0x84F40F0B,10000100111101000000111100001011
CFG_ARRAY_0,0x74,116,0x088047F4,00001000100000000100011111110100
CFG_ARRAY_0,0x76,118,0x0AF80008,00001010111110000000000000001000
CFG_ARRAY_0,0x78,120,0x88C4FFA0,10001000110001001111111110100000
CFG_ARRAY_0,0x7A,122,0x0700083B,00000111000000000000100000111011
CFG_ARRAY_0,0x7C,124,0xCC087F44,11001100000010000111111101000100
CFG_ARRAY_0,0x7E,126,0x0087800A,00000000100001111000000000001010
CFG_ARRAY_0,0x80,128,0x30CF8E00,00110000110011111000111000000000
CFG_ARRAY_0,0x82,130,0xF0F00F0F,11110000111100000000111100001111
CFG_ARRAY_0,0x84,132,0x8F40FF0C,10001111010000001111111100001100
CFG_ARRAY_0,0x86,134,0xCC4B6005,11001100010010110110000000000101
CFG_ARRAY_0,0x88,136,0x004F2C88,00000000010011110010110010001000
CFG_ARRAY_0,0x8A,138,0x08CB8F02,00001000110010111000111100000010
CFG_ARRAY_0,0x8C,140,0xB3FF04EA,10110011111111110000010011101010
CFG_ARRAY_0,0x8E,142,0x38F187F0,00111000111100011000011111110000
CFG_ARRAY_0,0x90,144,0x250B87A4,00100101000010111000011110100100
CFG_ARRAY_0,0x92,146,0x7F888440,01111111100010001000010001000000
CFG_ARRAY_0,0x94,148,0xF81806FC,11111000000110000000011011111100
CFG_ARRAY_0,0x96,150,0x0B4EC0F4,00001011010011101100000011110100
CFG_ARRAY_0,0x98,152,0xC7B783F0,11000111101101111000001111110000
CFG_ARRAY_0,0x9A,154,0x4F08C0FB,01001111000010001100000011111011
CFG_ARRAY_0,0x9C,156,0x44FA00F3,01000100111110100000000011110011
CFG_ARRAY_0,0x9E,158,0x07BBA778,00000111101110111010011101111000
CFG_ARRAY_0,0xA0,160,0xB47B480A,10110100011110110100100000001010
CFG_ARRAY_0,0xA2,162,0xFB77F7B7,11111011011101111111011110110111
CFG_ARRAY_0,0xA4,164,0x3EF2BDC8,00111110111100101011110111001000
CFG_ARRAY_0,0xA6,166,0xFC734FB6,11111100011100110100111110110110
CFG_ARRAY_0,0xA8,168,0xF6300F44,11110110001100000000111101000100
CFG_ARRAY_0,0xAA,170,0x74004C00,01110100000000000100110000000000
CFG_ARRAY_0,0xAC,172,0x3BD38F44,00111011110100111000111101000100
CFG_ARRAY_0,0xAE,174,0x7C77DA0C,01111100011101111101101000001100
CFG_ARRAY_0,0xB0,176,0x704CC7B4,01110000010011001100011110110100
CFG_ARRAY_0,0xB2,178,0x4FFF3B47,01001111111111110011101101000111
CFG_ARRAY_0,0xB4,180,0x72F00B8E,01110010111100000000101110001110
CFG_ARRAY_0,0xB6,182,0xE30C3C47,11100011000011000011110001000111
CFG_ARRAY_0,0xB8,184,0x00B47000,00000000101101000111000000000000
CFG_ARRAY_0,0xBA,186,0x034F7CF0,00000011010011110111110011110000
CFG_ARRAY_0,0xBC,188,0xB7720B37,10110111011100100000101100110111
CFG_ARRAY_0,0xBE,190,0x4CB4070B,01001100101101000000011100001011
CFG_ARRAY_0,0xC0,192,0xC4471849,11000100010001110001100001001001
CFG_ARRAY_0,0xC2,194,0x70CB2E20,01110000110010110010111000100000
CFG_ARRAY_0,0xC4,196,0x0FC7F30D,00001111110001111111001100001101
CFG_ARRAY_0,0xC6,198,0xBB700DF3,10111011011100000000110111110011
CFG_ARRAY_0,0xC8,200,0x38C74D00,00111000110001110100110100000000
CFG_ARRAY_0,0xCA,202,0xF5072807,11110101000001110010100000000111
CFG_ARRAY_0,0xCC,204,0xB7C84BC0,10110111110010000100101111000000
CFG_ARRAY_0,0xCE,206,0xAC280707,10101100001010000000011100000111
CFG_ARRAY_0,0xD0,208,0x7C8E8FBD,01111100100011101000111110111101
CFG_ARRAY_0,0xD2,210,0x77B348F0,01110111101100110100100011110000
CFG_ARRAY_0,0xD4,212,0x8F0010FB,10001111000000000001000011111011
CFG_ARRAY_0,0xD6,214,0xCE72F002,11001110011100101111000000000010
CFG_ARRAY_0,0xD8,216,0xFA0B3C04,11111010000010110011110000000100
CFG_ARRAY_0,0xDA,218,0x747C3420,01110100011111000011010000100000
CFG_ARRAY_0,0xDC,220,0xE77B74C7,11100111011110110111010011000111
CFG_ARRAY_0,0xDE,222,0xBE02BCAF,10111110000000101011110010101111
CFG_ARRAY_0,0xE0,224,0xF37A4FBD,11110011011110100100111110111101
CFG_ARRAY_0,0xE2,226,0x0BBA003C,00001011101110100000000000111100
CFG_ARRAY_0,0xE4,228,0x730F8F40,01110011000011111000111101000000
CFG_ARRAY_0,0xE6,230,0x0B6040BC,00001011011000000100000010111100
