array,address_hex,address_decimal,word_hex,word_binary
DATA_ARRAY_0,0x00,0,0xB0945FAF,10110000100101000101111110101111
DATA_ARRAY_0,0x01,1,0x693A0F5D,01101001001110100000111101011101
DATA_ARRAY_0,0x02,2,0xA7495D83,10100111010010010101110110000011
DATA_ARRAY_0,0x03,3,0x708F6226,01110000100011110110001000100110
DATA_ARRAY_0,0x04,4,0x98F51F25,10011000111101010001111100100101
DATA_ARRAY_0,0x05,5,0x05DE2913,00000101110111100010100100010011
DATA_ARRAY_0,0x06,6,0x93893382,10010011100010010011001110000010
DATA_ARRAY_0,0x07,7,0x0825960A,00001000001001011001011000001010
DATA_ARRAY_0,0x08,8,0xE16AD255,11100001011010101101001001010101
DATA_ARRAY_0,0x09,9,0x46F74B5C,01000110111101110100101101011100
DATA_ARRAY_0,0x0A,10,0x7F52CD04,01111111010100101100110100000100
DATA_ARRAY_0,0x0B,11,0x619D1EC2,01100001100111010001111011000010
DATA_ARRAY_0,0x0C,12,0x67A6003A,01100111101001100000000000111010
DATA_ARRAY_0,0x0D,13,0x0E2FB6A8,00001110001011111011011010101000
DATA_ARRAY_0,0x0E,14,0x87E84797,10000111111010000100011110010111
DATA_ARRAY_0,0x0F,15,0x078709F3,00000111100001110000100111110011
DATA_ARRAY_0,0x10,16,0x4C24E092,01001100001001001110000010010010
DATA_ARRAY_0,0x11,17,0xBE4226E7,10111110010000100010011011100111
DATA_ARRAY_0,0x12,18,0x96D39870,10010110110100111001100001110000
DATA_ARRAY_0,0x13,19,0xC4D7FA7B,11000100110101111111101001111011
DATA_ARRAY_0,0x14,20,0x0F5136E4,00001111010100010011011011100100
DATA_ARRAY_0,0x15,21,0x8F2608F5,10001111001001100000100011110101
DATA_ARRAY_0,0x16,22,0x2708D775,00100111000010001101011101110101
DATA_ARRAY_0,0x17,23,0x8B758F86,10001011011101011000111110000110
DATA_ARRAY_0,0x18,24,0x60A7AF00,01100000101001111010111100000000
DATA_ARRAY_0,0x19,25,0x775F98B7,01110111010111111001100010110111
DATA_ARRAY_0,0x1A,26,0xD9B667BF,11011001101101100110011110111111
DATA_ARRAY_0,0x1B,27,0x7738F0E6,01110111001110001111000011100110
DATA_ARRAY_0,0x1C,28,0x1C76F977,00011100011101101111100101110111
DATA_ARRAY_0,0x1D,29,0x3842067A,00111000010000100000011001111010
DATA_ARRAY_0,0x1E,30,0x03C47F83,00000011110001000111111110000011
DATA_ARRAY_0,0x1F,31,0x407C7E78,01000000011111000111111001111000
DATA_ARRAY_0,0x20,32,0x00060404,00000000000001100000010000000100
DATA_ARRAY_0,0x21,33,0x46C003D1,01000110110000000000001111010001
DATA_ARRAY_0,0x22,34,0x40440780,01000000010001000000011110000000
DATA_ARRAY_0,0x23,35,0x05027868,00000101000000100111100001101000
DATA_ARRAY_0,0x24,36,0x02787838,00000010011110000111100000111000
DATA_ARRAY_0,0x25,37,0x845C2584,10000100010111000010010110000100
DATA_ARRAY_0,0x26,38,0x01428787,00000001010000101000011110000111
DATA_ARRAY_0,0x27,39,0x007D8000,00000000011111011000000000000000
DATA_ARRAY_0,0x28,40,0x7F87F500,01111111100001111111010100000000
DATA_ARRAY_0,0x29,41,0x78000001,01111000000000000000000000000001
DATA_ARRAY_0,0x2A,42,0x04078478,00000100000001111000010001111000
DATA_ARRAY_0,0x2B,43,0x8047F824,10000000010001111111100000100100
DATA_ARRAY_0,0x2C,44,0x7043FFC7,01110000010000111111111111000111
DATA_ARRAY_0,0x2D,45,0x3807E460,00111000000001111110010001100000
